,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 130C  Sample  2  AB,normalized Abundance: F2: 131  Sample  2  B,normalized Abundance: F1: 130C  Sample  1  AB,normalized Abundance: F1: 131  Sample  1  B,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundance: F3: 131  Sample  3  B,average_normalized : F1: 13,P VALUE of : F1: 13,average_normalized : F3: 1,P VALUE of : F3: 1,average_normalized_of_CONTROL
20,376.5,449.9,109.7,439.1,536.5,130.9,309.7,377.0,89.6,393.5,528.7,112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High,High,High,High,High,Not Found,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,340.9874177962689,340.35835840855907,309.7,280.5532868723469,120.84076915174138,104.37432803830397,295.1266434361735,0.1970013431109088,112.60754859502268,0.022780006107783916,340.672888102414
21,19559.6,20896.3,17171.8,23358.5,25130.3,20818.5,15776.9,17068.0,14063.4,20616.7,22085.1,18161.8,64.0,61.0,66.0,64.0,61.0,66.0,64.0,61.0,66.0,64.0,61.0,66.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],15437.594819487314,14217.606168505516,15776.9,14699.067215911346,19218.667323036883,16925.229205054187,15237.983607955674,0.6648587287344185,18071.948264045535,0.167538051117475,14827.600493996415
22,10950.4,10615.2,5948.8,12323.7,12143.0,6714.6,8111.4,7985.2,4500.5,11085.5,10784.5,5986.6,48.0,52.0,46.0,48.0,52.0,46.0,48.0,52.0,46.0,48.0,52.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,7222.421030734128,6942.679622199933,8111.4,7903.617437416522,6198.605260093833,5578.994216375988,8007.508718708261,0.03988753900251336,5888.79973823491,0.1187715873187517,7082.550326467031
23,38778.9,40186.9,30884.7,44353.5,45992.1,35739.6,28827.1,29958.9,23045.2,37926.4,39115.9,30058.2,56.0,53.0,52.0,56.0,53.0,52.0,55.0,53.0,52.0,56.0,53.0,52.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,27097.10331834653,25181.43278167837,28827.1,27040.346071754455,32993.130276360396,28011.646670008467,27933.72303587723,0.304752719003909,30502.38847318443,0.3059508331212486,26139.268050012448
24,34845.7,36764.4,24766.2,40185.7,42485.2,28410.8,25865.2,27279.2,18309.0,32369.0,34448.0,23067.1,57.0,60.0,57.0,57.0,60.0,57.0,57.0,60.0,57.0,57.0,60.0,57.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,24673.379224265198,22176.40387830157,25865.2,23078.092357740778,26227.52424916955,21496.54519903894,24471.64617887039,0.6327337678205344,23862.034724104247,0.8892592517278364,23424.891551283385
25,1215.4,134.2,164.8,1290.2,136.6,160.9,908.7,91.6,108.9,1246.1,136.6,154.6,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,High,High,High,High,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],82.84999328949132,87.93824807756603,908.7,888.4306245784788,148.53536865175852,144.07384923858743,898.5653122892395,0.004876433556483239,146.30460894517296,0.0033125112061694393,85.39412068352868
26,25863.7,25332.5,17119.8,28364.0,27917.7,18803.3,19174.2,18988.5,13157.2,27206.3,27045.1,18295.7,52.0,56.0,53.0,52.0,56.0,53.0,52.0,56.0,53.0,52.0,56.0,53.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],17174.640803247883,17410.678719491807,19174.2,19397.247493354844,17358.328759289067,17050.012441878553,19285.723746677424,0.006650737201838529,17204.17060058381,0.6959087325214196,17292.659761369847
27,36624.0,37400.3,27326.7,38627.9,38733.5,28875.4,32509.4,32957.2,24839.4,42719.1,43357.9,32139.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,29808.993437122528,27912.28233032431,32509.4,30457.39241989447,26656.42128009315,29950.772578777243,31483.396209947234,0.20207206163462213,28303.596929435196,0.8030318284561947,28860.63788372342
28,37067.9,36417.7,28886.1,42424.7,41279.9,32681.3,27191.2,26463.7,20821.7,37092.7,36396.1,28575.4,51.0,52.0,51.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,23935.77912025231,23430.52174857907,27191.2,26445.943847445746,30169.850487996988,26629.80511987278,26818.571923722873,0.027748990488202015,28399.827803934884,0.22272680357834407,23683.150434415693
29,7719.0,7834.6,7124.9,8422.4,8572.5,7745.5,5639.9,5650.7,5333.6,7561.9,7638.6,6957.5,57.0,60.0,64.0,57.0,60.0,64.0,57.0,60.0,64.0,57.0,60.0,64.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],5110.922020534155,4917.460481444334,5639.9,5391.4,7150.284014246087,6483.789172558035,5515.65,0.09276931595155667,6817.036593402061,0.09529871797138034,5014.1912509892445
