,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 129C  Sample  2  A,normalized Abundance: F2: 130C  Sample  2  AB,normalized Abundance: F1: 130C  Sample  1  AB,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundance: F3: 130C  Sample  3  AB,normalized Abundances Count: F1: 128C  Sample  1  C,average_normalized : F,P VALUE of : F,average_normalized ,P VALUE of ,average_normalized_of_CONTROL
20,376.5,449.9,109.7,439.1,536.5,130.9,309.7,377.0,89.6,393.5,528.7,112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High,High,High,High,High,Not Found,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,1.8146139491485886,1.8341497785532141,1.6658567347998665,0.6499948631896169,0.6115465179222858,1.0,1.1579257989947416,0.4145193369402592,0.8057732589611428,0.11919795391466313,1.8243818638509013
21,19559.6,20896.3,17171.8,23358.5,25130.3,20818.5,15776.9,17068.0,14063.4,20616.7,22085.1,18161.8,64.0,61.0,66.0,64.0,61.0,66.0,64.0,61.0,66.0,64.0,61.0,66.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],84.99868206204805,83.03784726882297,84.8629483993026,103.37599739734941,95.98686718915485,64.0,94.119472898326,0.47088477663212136,79.99343359457743,0.8430950681897442,84.01826466543551
22,10950.4,10615.2,5948.8,12323.7,12143.0,6714.6,8111.4,7985.2,4500.5,11085.5,10784.5,5986.6,48.0,52.0,46.0,48.0,52.0,46.0,48.0,52.0,46.0,48.0,52.0,46.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,41.071495218101234,38.848946450140915,43.630708164855136,33.3419060991062,30.717244463272852,48.0,38.486307131980666,0.8230624203384371,39.358622231636424,0.9558364911915669,39.960220834121074
23,38778.9,40186.9,30884.7,44353.5,45992.1,35739.6,28827.1,29958.9,23045.2,37926.4,39115.9,30058.2,56.0,53.0,52.0,56.0,53.0,52.0,55.0,53.0,52.0,56.0,53.0,52.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,155.55993701889432,145.7536068984029,155.05914975702044,177.46796342591009,157.29031043328865,56.0,166.26355659146526,0.3766160138943497,106.64515521664433,0.5438557563954216,150.65677195864862
24,34845.7,36764.4,24766.2,40185.7,42485.2,28410.8,25865.2,27279.2,18309.0,32369.0,34448.0,23067.1,57.0,60.0,57.0,57.0,60.0,57.0,57.0,60.0,57.0,57.0,60.0,57.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,143.69848378819685,132.71654811434706,139.12727677412175,141.07619602068422,124.9643437124903,57.0,140.101736397403,0.7889147880870394,90.98217185624515,0.39263783719018763,138.20751595127194
25,1215.4,134.2,164.8,1290.2,136.6,160.9,908.7,91.6,108.9,1246.1,136.6,154.6,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,High,High,High,High,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.46202472591555865,0.445644879881895,4.887839893163187,0.7989623643025925,0.7432747299300997,4.0,2.8434011287328893,0.45054516346032225,2.37163736496505,0.44815004839676653,0.4538348028987268
26,25863.7,25332.5,17119.8,28364.0,27917.7,18803.3,19174.2,18988.5,13157.2,27206.3,27045.1,18295.7,52.0,56.0,53.0,52.0,56.0,53.0,52.0,56.0,53.0,52.0,56.0,53.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],94.42655703289013,92.38130787813716,103.13681047594318,93.3693537892538,89.80178399115067,52.0,98.25308213259848,0.498438091412181,70.90089199557534,0.44432950746630595,93.40393245551365
27,36624.0,37400.3,27326.7,38627.9,38733.5,28875.4,32509.4,32957.2,24839.4,42719.1,43357.9,32139.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0,59.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,131.00903895498018,160.34069252449333,174.86600882887564,143.3832060545872,169.53625644284406,60.0,159.12460744173143,0.5959740844507726,114.76812822142203,0.6728546664104775,145.67486573973676
28,37067.9,36417.7,28886.1,42424.7,41279.9,32681.3,27191.2,26463.7,20821.7,37092.7,36396.1,28575.4,51.0,52.0,51.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,139.62177513412644,128.74904375251643,146.25974700448864,162.2817198041163,142.11426486855424,51.0,154.27073340430246,0.1908238720527727,96.55713243427712,0.5596118983447035,134.18540944332142
29,7719.0,7834.6,7124.9,8422.4,8572.5,7745.5,5639.9,5650.7,5333.6,7561.9,7638.6,6957.5,57.0,60.0,64.0,57.0,60.0,64.0,57.0,60.0,64.0,57.0,60.0,64.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],28.994926522043386,27.4913266675614,30.336665801090625,38.46092599568508,36.4033985266775,57.0,34.39879589838785,0.3649656817003911,46.70169926333875,0.3227138328952962,28.24312659480239
