Accession,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3
NP_004334.1,24454.075,24164.241666666665,26986.133333333335,27464.816666666666,28609.675000000003,31276.616666666665,26287.74166666667,28609.675000000003,31276.616666666665,25428.61666666667,25428.61666666667,27464.816666666666
NP_001393.1,27464.816666666666,30392.716666666664,29601.466666666664,24833.56666666667,26986.133333333335,25428.61666666667,21787.308333333334,23802.908333333336,21787.308333333334,25867.533333333336,29601.466666666664,26287.74166666667
NP_004902.1,16785.7,17569.68333333333,15018.474999999999,17111.6,17569.68333333333,15281.308333333332,17111.6,18017.26666666667,15281.308333333332,18683.083333333332,18948.15,16785.7
NP_004125.3,13573.475,13346.566666666666,15599.916666666664,14020.833333333334,13766.699999999999,16469.858333333334,14020.833333333334,13346.566666666666,16469.858333333334,12403.575000000003,12403.575000000003,14258.366666666667
NP_000909.2,30392.716666666664,25428.61666666667,25867.533333333336,34914.50000000001,27464.816666666666,27464.816666666666,36379.16666666668,27464.816666666666,26986.133333333335,31276.616666666665,24454.075,24164.241666666665
NP_573566.2,9208.466666666665,8408.275,9726.425000000001,9950.483333333334,8997.474999999999,10331.125,10474.8,9950.483333333334,11314.225,8997.474999999999,8215.05,9580.866666666667
XP_024306305.1,5396.625,6265.716666666667,8299.55,5396.625,6388.450000000001,8408.275,5396.625,6633.600000000001,8716.816666666668,5261.441666666667,6265.716666666667,8346.25
NP_066964.1,12761.858333333332,9802.291666666666,11158.391666666665,11992.16666666667,9726.425000000001,10474.8,11570.141666666668,9580.866666666667,10474.8,12244.833333333334,9494.474999999999,11158.391666666665
NP_938149.2,14531.766666666665,15281.308333333332,14886.500000000002,18017.26666666667,18017.26666666667,18017.26666666667,15599.916666666664,16469.858333333334,16785.7,14531.766666666665,14886.500000000002,14531.766666666665
NP_001888.2,4933.15,5329.925,4873.708333333333,5024.0666666666675,5261.441666666667,4667.383333333334,4873.708333333333,5329.925,4667.383333333334,5024.0666666666675,5509.866666666666,4933.15
NP_938148.1,30.875000000000004,0.0,30.875000000000004,71.21666666666668,0.0,17.708333333333336,38.725,0.0,17.708333333333336,71.21666666666668,0.0,30.875000000000004
NP_004784.2,6997.916666666667,7098.616666666666,7098.616666666666,8215.05,8215.05,7884.566666666668,8515.625000000002,8615.741666666667,8215.05,6688.291666666665,6758.525000000001,6566.325
XP_006718627.1,5148.516666666666,5024.0666666666675,3665.991666666667,5261.441666666667,5083.916666666667,3837.2499999999995,5576.275000000001,5261.441666666667,4050.25,5509.866666666666,5148.516666666666,3665.991666666667
NP_005304.3,20208.374999999996,18017.26666666667,24454.075,20931.775,20208.374999999996,26287.74166666667,21281.675,19204.516666666666,26287.74166666667,20931.775,18683.083333333332,24454.075
NP_004437.2,8046.808333333333,9062.883333333333,7346.316666666667,7715.266666666667,8615.741666666667,7098.616666666666,6997.916666666667,8046.808333333333,6789.300000000002,7771.416666666665,8299.55,7098.616666666666
NP_000692.2,12902.491666666669,15847.483333333332,14531.766666666665,12902.491666666669,15847.483333333332,14683.733333333332,13346.566666666666,16128.449999999999,14531.766666666665,13346.566666666666,15847.483333333332,15281.308333333332
NP_001152759.1,23154.725000000002,21787.308333333334,23154.725000000002,22089.941666666666,20931.775,22089.941666666666,24454.075,20931.775,22855.13333333333,24454.075,20931.775,23154.725000000002
NP_002511.1,41877.066666666666,41877.066666666666,34914.50000000001,41877.066666666666,40781.24166666666,34914.50000000001,43229.01666666666,43229.01666666666,36379.16666666668,36379.16666666668,36379.16666666668,34914.50000000001
NP_002256.2,6633.600000000001,7172.666666666667,9802.291666666666,6265.716666666667,6688.291666666665,9494.474999999999,6026.691666666667,6265.716666666667,8515.625000000002,6535.558333333333,7172.666666666667,9494.474999999999
NP_005900.2,6566.325,6388.450000000001,4050.25,6477.908333333333,6477.908333333333,4158.75,6322.625,6322.625,4093.8666666666663,6855.191666666667,6789.300000000002,4362.216666666666
NP_001596.2,8408.275,7973.575,7715.266666666667,8408.275,8117.649999999999,7521.358333333333,7454.891666666666,7044.391666666666,6758.525000000001,7715.266666666667,7346.316666666667,6688.291666666665
NP_002145.3,8615.741666666667,8615.741666666667,7454.891666666666,8299.55,8299.55,7279.5250000000015,7973.575,8117.649999999999,7098.616666666666,8346.25,8515.625000000002,7593.208333333333
NP_004037.1,21787.308333333334,22089.941666666666,18683.083333333332,22855.13333333333,22563.158333333336,20608.30833333333,24164.241666666665,23154.725000000002,20608.30833333333,21281.675,21281.675,18343.8
NP_000691.1,32207.583333333332,29601.466666666664,32207.583333333332,29601.466666666664,29601.466666666664,32207.583333333332,28609.675000000003,26986.133333333335,30392.716666666664,33429.85,32207.583333333332,33429.85
NP_055205.2,8215.05,9208.466666666665,6566.325,7973.575,8860.183333333332,6322.625,7884.566666666668,8997.474999999999,6322.625,8299.55,9580.866666666667,6855.191666666667
NP_001275905.1,14020.833333333334,14531.766666666665,16785.7,13218.383333333333,13218.383333333333,15847.483333333332,12761.858333333332,12902.491666666669,14886.500000000002,13573.475,14531.766666666665,16128.449999999999
NP_001099008.1,5752.766666666667,5658.883333333334,6688.291666666665,5658.883333333334,5576.275000000001,6758.525000000001,5752.766666666667,5658.883333333334,6855.191666666667,5450.191666666667,5658.883333333334,6322.625
NP_006635.2,12153.683333333332,10949.891666666668,12403.575000000003,11440.6,10674.7,11570.141666666668,11158.391666666665,9802.291666666666,10331.125,12598.891666666665,11440.6,12598.891666666665
NP_005372.2,34914.50000000001,32207.583333333332,33429.85,36379.16666666668,34914.50000000001,33429.85,37842.225000000006,32207.583333333332,33429.85,32207.583333333332,31276.616666666665,32207.583333333332
NP_004030.1,31276.616666666665,31276.616666666665,30392.716666666664,31276.616666666665,30392.716666666664,28609.675000000003,30392.716666666664,30392.716666666664,29601.466666666664,30392.716666666664,30392.716666666664,27890.899999999994
NP_003283.2,5576.275000000001,6789.300000000002,4449.1916666666675,5843.458333333335,6997.916666666667,4743.7,5937.483333333334,6997.916666666667,4637.708333333333,5396.625,6322.625,4158.75
NP_114032.2,25867.533333333336,24833.56666666667,25428.61666666667,26986.133333333335,25428.61666666667,24833.56666666667,25428.61666666667,25428.61666666667,24164.241666666665,23154.725000000002,23154.725000000002,21787.308333333334
XP_006720201.1,5450.191666666667,5882.558333333333,5658.883333333334,5450.191666666667,5843.458333333335,6026.691666666667,6092.308333333334,6428.233333333333,6265.716666666667,5658.883333333334,6152.575000000001,5658.883333333334
NP_005564.1,11725.324999999999,12403.575000000003,11725.324999999999,12470.074999999999,13114.6,12403.575000000003,12244.833333333334,13114.6,12470.074999999999,11158.391666666665,11725.324999999999,10674.7
NP_004492.2,71.21666666666668,279.7583333333333,0.0,38.725,279.7583333333333,0.0,71.21666666666668,279.7583333333333,0.0,38.725,279.7583333333333,0.0
NP_006363.4,15281.308333333332,11570.141666666668,11992.16666666667,15018.474999999999,11725.324999999999,11992.16666666667,14531.766666666665,11725.324999999999,11725.324999999999,15018.474999999999,11158.391666666665,11314.225
NP_005337.2,5083.916666666667,5752.766666666667,6789.300000000002,4093.8666666666663,5180.733333333333,5576.275000000001,4158.75,4715.533333333334,4873.708333333333,4362.216666666666,5024.0666666666675,5450.191666666667
NP_000179.2,7884.566666666668,7279.5250000000015,8046.808333333333,8716.816666666668,8408.275,8860.183333333332,9361.533333333333,9361.533333333333,9580.866666666667,8408.275,7884.566666666668,8408.275
